event_id,frame,t_s,camera,rally_id,shot_index,type,shot_label,label_correct,u_px,v_px,x_m,y_m,z_m,dist_to_net_m,in_court,speed_in_mps,speed_out_mps,speed_change_mps,turn_angle_deg,incoming_angle_deg,outgoing_angle_deg,hand,player_id,player_x_m,player_y_m,player_dist_to_ball_m,n_cams,ball_conf
hit_000001,24,1.201,side-1,,,fence_hit,,,686.1,952.0,-2.568,23.739,,13.739,0,4.200,1.116,-3.084,146.5,-125.0,21.5,,,,,,1,0.644
hit_000002,62,3.102,side-1,,,player_hit,,,1199.2,1011.8,0.896,21.993,,11.993,,3.956,4.904,0.948,63.8,-28.2,35.6,left,,,,,1,0.689
hit_000003,104,5.203,side-1,,,player_hit,,,2038.0,1114.5,5.717,19.446,,9.446,,0.833,0.922,0.089,63.2,7.2,-56.0,left,,,,,1,0.611
hit_000004,139,6.954,side-1,,,player_hit,,,1938.6,1069.0,5.207,20.517,,10.517,,1.539,6.809,5.271,96.1,-153.5,110.4,left,,,,,1,0.525
hit_000005,283,14.159,side-1,,,net_hit,,,2505.5,1726.9,6.943,10.828,,0.828,,3.723,2.506,-1.217,0.8,-102.9,-103.7,,,,,,1,0.675
hit_000006,415,20.763,side-1,,,player_hit,,,2428.8,1312.7,7.313,15.710,,5.710,,1.174,0.396,-0.778,70.5,-98.0,-168.6,left,,,,,1,0.592
hit_000007,450,22.514,side-1,,,net_hit,,,2217.9,1631.5,6.060,11.724,,1.724,,19.795,8.145,-11.650,4.4,92.2,87.8,,,,,,2,0.517
hit_000008,488,24.415,side-1,,,player_hit,,,2476.8,952.4,8.653,23.805,,13.805,,19.216,0.691,-18.525,161.2,-86.5,112.3,left,,,,,1,0.607
hit_000009,530,26.517,side-1,,,player_hit,,,2565.2,987.9,9.040,22.718,,12.718,,3.913,1.378,-2.535,169.1,28.2,-162.6,right,,,,,1,0.625
hit_000010,553,27.667,side-1,,,player_hit,,,2241.5,961.6,7.140,23.503,,13.503,,2.475,8.073,5.597,66.1,-168.3,125.6,right,,,,,1,0.622
hit_000011,583,29.168,side-2,,,net_hit,,,2182.5,1632.9,6.031,10.986,-0.047,0.986,,3.467,2.065,-1.401,33.5,-23.3,10.2,,,,,,2,0.656
hit_000012,683,34.171,side-1,,,player_hit,,,2280.4,1225.2,6.792,17.201,,7.201,,3.746,2.426,-1.320,83.1,-29.1,-112.2,left,,,,,1,0.510
hit_000013,713,35.672,side-1,,,player_hit,,,2112.7,1024.7,6.235,21.666,,11.666,,5.655,2.655,-3.000,96.5,91.4,-5.0,left,,,,,1,0.600
hit_000014,728,36.423,side-1,,,player_hit,,,1789.8,976.6,4.334,23.026,,13.026,,7.449,9.246,1.797,62.1,49.0,111.1,left,,,,,1,0.608
hit_000015,791,39.575,side-1,,,player_hit,,,1794.6,1320.5,4.501,15.592,,5.592,,2.160,4.260,2.100,167.7,-149.1,43.2,left,,,,,1,0.608
hit_000016,808,40.425,side-2,,,wall_bounce,,,997.7,933.7,-0.493,23.166,,13.166,,21.586,18.215,-3.371,27.6,-116.6,-89.0,,,,,,1,0.675
hit_000017,865,43.277,side-2,,,player_hit,,,1709.6,1292.1,4.283,15.081,,5.081,,2.352,1.215,-1.138,130.8,78.0,-52.8,right,,,,,1,0.564
hit_000018,879,43.977,side-2,,,player_hit,,,1729.8,1089.5,4.273,18.722,,8.722,,7.228,0.363,-6.865,111.5,-86.6,161.9,left,,,,,1,0.611
hit_000019,946,47.330,side-1,,,player_hit,,,2290.3,1052.0,7.200,20.951,,10.951,,10.072,3.430,-6.643,170.4,91.2,-79.2,left,,,,,1,0.611
hit_000020,956,47.830,side-1,,,player_hit,,,2320.9,925.1,7.759,24.697,,14.697,,0.355,3.258,2.903,61.8,-0.6,61.2,left,,,,,1,0.605
hit_000021,981,49.081,side-1,,,player_hit,,,2442.6,992.5,8.276,22.580,,12.580,,0.768,0.619,-0.149,124.1,3.1,-121.0,left,,,,,1,0.572
hit_000022,1000,50.031,side-1,,,player_hit,,,2297.6,932.7,7.582,24.439,,14.439,,0.681,6.272,5.592,61.3,176.9,115.7,right,,,,,1,0.576
hit_000023,1237,61.889,side-1,,,player_hit,,,1767.8,956.2,4.184,23.653,,13.653,,12.310,0.070,-12.240,82.0,-85.8,-167.7,right,,,,,1,0.586
hit_000024,1285,64.290,side-1,,,net_hit,,,2576.6,1551.0,7.460,12.560,1.776,2.560,,3.646,7.570,3.924,30.7,-18.0,-48.7,,,,,,2,0.578
hit_000025,1286,64.340,side-2,,,player_hit,,,1693.1,1013.4,4.016,20.510,1.952,10.510,,13.595,5.113,-8.482,92.2,-100.7,167.1,left,,,,,2,0.657
hit_000026,1314,65.741,side-1,,,net_hit,,,3176.4,1571.4,9.631,12.327,2.631,2.327,,4.554,7.522,2.969,42.6,-1.4,-44.0,,,,,,2,0.640
hit_000027,1344,67.242,side-1,,,net_hit,,,2185.2,1641.2,5.938,11.629,,1.629,,4.426,6.349,1.923,7.4,-64.2,-71.6,,,,,,2,0.534
hit_000028,1378,68.943,side-1,,,player_hit,,,1574.0,1151.5,3.321,18.640,2.264,8.640,,8.076,0.768,-7.308,105.2,-108.0,146.7,right,,,,,2,0.562
hit_000029,1391,69.593,side-2,,,net_hit,,,2093.8,1412.8,5.867,13.337,0.249,3.337,,4.505,3.497,-1.009,6.5,-147.4,-153.9,,,,,,2,0.622
hit_000030,1413,70.694,side-1,,,wall_bounce,,,2256.4,629.9,8.712,40.284,,30.284,,275.807,79.118,-196.689,26.7,-65.5,-92.2,,,,,,1,0.620
hit_000031,1527,76.398,side-1,,,player_hit,,,998.4,1162.2,0.446,18.413,,8.413,,0.577,1.970,1.393,64.8,8.6,-56.1,right,,,,,1,0.600
hit_000032,1558,77.949,side-1,,,player_hit,,,997.7,1034.4,-0.155,21.377,,11.377,,4.017,1.373,-2.644,68.6,-91.7,-23.1,left,,,,,1,0.594
hit_000033,1597,79.900,side-1,,,player_hit,,,1425.8,1127.2,2.514,19.157,,9.157,,2.569,1.222,-1.347,74.1,64.7,-9.4,left,,,,,1,0.622
hit_000034,1657,82.902,side-2,,,player_hit,,,1605.3,777.4,3.066,28.481,,18.481,,39.350,3.316,-36.033,125.0,100.5,-24.5,left,,,,,1,0.590
hit_000035,1673,83.702,side-2,,,player_hit,,,1775.5,979.3,4.471,21.351,,11.351,,1.717,0.723,-0.994,98.2,106.5,8.4,left,,,,,1,0.543
hit_000036,1690,84.553,side-2,,,player_hit,,,1761.6,967.9,4.383,21.669,,11.669,,1.196,10.237,9.041,143.2,-164.8,-21.5,left,,,,,1,0.515
hit_000037,1724,86.254,side-2,,,player_hit,,,1599.3,984.0,3.435,21.328,,11.328,,6.448,7.225,0.776,94.3,-147.8,117.9,right,,,,,1,0.558
hit_000038,1789,89.506,side-2,,,wall_bounce,,,1296.2,956.6,1.522,22.278,,12.278,,0.424,11.307,10.883,144.9,179.7,-35.3,,,,,,1,0.614
hit_000039,1821,91.107,side-2,,,player_hit,,,1590.1,894.4,3.220,24.002,1.959,14.002,,9.874,30.089,20.215,88.2,-56.2,32.0,right,,,,,2,0.596
hit_000040,1836,91.857,side-1,,,wall_bounce,,,1849.9,864.4,4.679,26.890,,16.890,,4.826,43.931,39.105,133.0,-157.9,-24.9,,,,,,1,0.582
hit_000041,1849,92.508,side-1,,,player_hit,,,1261.6,785.0,0.087,30.320,,20.320,,23.611,13.101,-10.510,72.1,-149.4,138.6,left,,,,,1,0.547
hit_000042,1924,96.260,side-2,,,net_hit,,,1307.9,1538.8,2.894,12.061,0.384,2.061,,2.818,2.193,-0.625,5.9,126.8,132.7,,,,,,2,0.648
hit_000043,2076,103.865,side-2,,,player_hit,,,2335.3,981.6,7.706,20.970,,10.970,,1.289,0.469,-0.820,174.4,-1.9,-176.4,left,,,,,2,0.524
hit_000044,2107,105.416,side-2,,,player_hit,,,2178.1,805.8,7.255,26.729,,16.729,,5.467,0.028,-5.439,65.6,-102.6,-168.1,left,,,,,2,0.575
hit_000045,2120,106.066,side-2,,,wall_bounce,,,2151.4,1016.0,6.592,20.203,,10.203,,0.292,2.864,2.572,76.2,175.1,-108.6,,,,,,2,0.681
hit_000046,2135,106.817,side-1,,,net_hit,,,2471.2,1874.5,6.665,9.639,,0.361,,2.418,0.984,-1.434,0.0,-149.8,-149.8,,,,,,2,0.597
hit_000047,2143,107.217,side-2,,,net_hit,,,1472.6,1694.4,3.637,10.548,0.423,0.548,,3.867,1.303,-2.564,31.8,135.3,167.1,,,,,,2,0.620
hit_000048,2165,108.318,side-2,,,player_hit,,,1424.0,1358.5,3.110,14.207,1.677,4.207,,1.870,11.353,9.483,143.0,136.0,-81.1,right,,,,,2,0.533
hit_000049,2179,109.018,side-2,,,player_hit,,,1356.4,1469.0,2.985,12.827,,2.827,,0.159,0.164,0.006,179.3,-110.2,70.4,left,,,,,1,0.580
hit_000050,2226,111.370,side-2,,,player_hit,,,1781.4,1472.0,4.634,12.702,,2.702,,2.998,5.540,2.543,80.7,29.7,-51.0,left,,,,,1,0.592
hit_000051,2241,112.120,side-2,,,net_hit,,,2054.9,1657.1,5.585,10.788,,0.788,,1.479,0.687,-0.792,30.7,37.4,6.7,,,,,,1,0.693
hit_000052,2321,116.123,side-2,,,wall_bounce,,,2096.2,1003.0,6.306,20.554,,10.554,,1.340,0.690,-0.649,123.1,69.1,-54.0,,,,,,1,0.622
hit_000053,2329,116.523,side-2,,,player_hit,,,2096.0,974.1,6.349,21.305,1.520,11.305,,2.783,3.129,0.346,87.2,-82.1,-169.3,right,,,,,2,0.652
hit_000054,2372,118.674,side-1,,,player_hit,,,2547.3,998.5,8.883,22.410,,12.410,,20.649,62.368,41.720,154.5,-80.1,125.4,right,,,,,1,0.551
hit_000055,2406,120.375,side-2,,,wall_bounce,,,2769.7,868.2,10.853,23.998,,13.998,,5.663,2.570,-3.093,35.5,27.5,-8.0,,,,,,1,0.545
hit_000056,2443,122.226,side-2,,,net_hit,,,2941.4,1478.7,8.966,12.393,,2.393,,4.204,2.494,-1.709,8.3,83.0,74.7,,,,,,1,0.657
hit_000057,2496,124.878,side-2,,,player_hit,,,2271.0,988.9,7.321,20.818,1.817,10.818,,0.897,7.637,6.740,63.0,165.0,-132.0,right,,,,,2,0.588
hit_000058,2510,125.578,side-2,,,net_hit,,,2138.4,1760.0,5.806,9.918,-0.078,0.082,,8.645,6.154,-2.491,0.8,86.8,87.6,,,,,,2,0.634
hit_000059,2552,127.680,side-2,,,player_hit,,,1925.1,1376.7,5.206,13.835,,3.835,,2.460,7.241,4.781,167.2,-146.7,20.6,left,,,,,2,0.558
hit_000060,2557,127.930,side-2,,,net_hit,,,2514.7,1580.2,7.230,11.427,,1.427,,3.148,2.441,-0.707,1.3,21.9,23.2,,,,,,2,0.545
hit_000061,2576,128.881,side-1,,,wall_bounce,,,2195.5,1071.8,6.627,20.452,,10.452,,0.494,4.019,3.525,68.5,5.6,-62.9,,,,,,2,0.653
hit_000062,2602,130.181,side-1,,,player_hit,,,2283.4,1142.9,6.960,18.828,,8.828,,1.868,1.885,0.017,99.1,-49.4,49.7,right,,,,,1,0.668
hit_000063,2634,131.782,side-1,,,player_hit,,,2307.4,1185.9,6.996,17.947,,7.947,,17.140,2.007,-15.133,158.3,-33.2,168.5,right,,,,,2,0.562
hit_000064,2652,132.683,side-2,,,player_hit,,,1774.5,965.7,4.459,21.724,,11.724,,1.394,4.894,3.500,68.4,177.3,-114.4,left,,,,,1,0.545
hit_000065,2666,133.383,side-2,,,wall_bounce,,,1538.8,1014.5,3.133,20.567,,10.567,,1.242,1.621,0.378,131.9,122.5,-105.6,,,,,,1,0.618
hit_000066,2704,135.285,side-1,,,player_hit,,,1462.2,1123.6,2.696,19.237,0.893,9.237,,16.591,16.944,0.353,160.1,-112.7,47.5,right,,,,,2,0.546
hit_000067,2712,135.685,side-1,,,net_hit,,,1873.2,1694.3,4.848,11.133,,1.133,,12.785,2.004,-10.781,42.2,59.6,101.8,,,,,,2,0.533
hit_000068,2786,139.387,side-2,,,wall_bounce,,,2116.3,1010.6,6.406,20.354,,10.354,,2.487,2.126,-0.361,16.6,8.9,-7.7,,,,,,2,0.657
hit_000069,2849,142.539,side-2,,,player_hit,,,2463.7,924.5,8.662,22.467,,12.467,,2.644,1.230,-1.414,99.8,-71.7,-171.5,left,,,,,1,0.550
hit_000070,2895,144.841,side-2,,,wall_bounce,,,2153.3,1011.2,6.612,20.320,,10.320,,2.601,0.342,-2.259,63.8,119.4,-176.9,,,,,,1,0.677
hit_000071,2918,145.991,side-1,,,wall_bounce,,,2571.8,665.6,11.478,37.600,,27.600,,57.428,20.805,-36.623,118.6,-78.3,40.3,,,,,,1,0.579
hit_000072,2923,146.241,side-1,,,player_hit,,,2567.9,877.7,9.650,26.424,,16.424,,49.637,9.897,-39.741,67.4,68.8,136.2,left,,,,,1,0.612
hit_000073,2954,147.792,side-1,,,wall_bounce,,,2872.8,1089.7,10.293,20.032,,10.032,,2.223,1.029,-1.194,91.4,121.3,-147.2,,,,,,1,0.566
hit_000074,2960,148.093,side-1,,,player_hit,,,2849.9,1041.9,10.437,21.227,,11.227,,4.642,1.008,-3.634,107.6,-121.3,-13.8,right,,,,,1,0.602
hit_000075,3002,150.194,side-1,,,wall_bounce,,,2257.9,1052.3,7.016,20.943,,10.943,,37.663,22.955,-14.708,75.1,-134.1,-59.1,,,,,,1,0.626
hit_000076,3016,150.894,side-2,,,wall_bounce,,,788.3,875.3,-2.364,25.287,,15.287,,75.641,80.641,5.000,16.0,-91.9,-76.0,,,,,,2,0.514
hit_000077,3041,152.145,side-2,,,player_hit,,,2083.4,1191.1,6.010,16.603,,6.603,,18.452,2.769,-15.683,72.6,55.0,-17.6,left,,,,,1,0.542
hit_000078,3065,153.346,side-2,,,wall_bounce,,,2148.7,961.8,6.678,21.606,,11.606,,1.057,5.257,4.201,177.5,0.2,177.7,,,,,,1,0.518
hit_000079,3084,154.296,side-2,,,wall_bounce,,,2566.7,1003.8,8.917,20.284,,10.284,,0.909,1.912,1.004,27.7,5.3,-22.4,,,,,,1,0.649
hit_000080,3126,156.398,side-2,,,wall_bounce,,,2497.6,1005.3,8.532,20.284,,10.284,,3.506,4.356,0.850,176.0,-161.3,14.6,,,,,,1,0.557
hit_000081,3149,157.548,side-2,,,wall_bounce,,,2085.7,989.5,6.266,20.905,,10.905,,0.205,1.388,1.183,87.9,17.3,-70.6,,,,,,1,0.647
hit_000082,3189,159.550,side-1,,,player_hit,,,2492.8,1066.3,8.296,20.594,,10.594,,14.932,25.222,10.290,148.7,-73.8,137.5,right,,,,,2,0.514
